month;cpv_division;division_name;tender_count
2021-04;75;Usługi administracji publicznej;13
2021-04;70;Usługi w zakresie nieruchomości;10
2021-04;19;Wyroby skórzane i tekstylne;9
2021-04;63;Usługi spedycji i logistyki;8
2021-04;41;Woda i usługi wodne;1
2021-04;65;Usługi komunalne (gaz, woda, energia);1
2021-05;45;Roboty budowlane;2555
2021-05;33;Sprzęt medyczny i farmaceutyczny;432
2021-05;71;Usługi architektoniczne i inżynieryjne;346
2021-05;90;Usługi środowiskowe i sanitarne;201
2021-05;80;Usługi edukacyjne;156
2021-05;30;Sprzęt komputerowy i biurowy;155
2021-05;79;Usługi biznesowe i doradcze;135
2021-05;34;Sprzęt transportowy i pojazdy;123
2021-05;39;Meble i wyposażenie wnętrz;118
2021-05;15;Artykuły spożywcze i napoje;113
2021-05;38;Sprzęt laboratoryjny i naukowy;94
2021-05;50;Usługi napraw i konserwacji;90
2021-05;9;Produkty naftowe, paliwa i energia;79
2021-05;66;Usługi finansowe i ubezpieczeniowe;79
2021-05;55;Usługi hotelarskie i restauracyjne;65
2021-05;72;Usługi informatyczne;52
2021-05;77;Usługi rolnicze i leśne;52
2021-05;60;Usługi transportu drogowego;50
2021-05;85;Usługi zdrowotne i społeczne;49
2021-05;44;Materiały budowlane;43
2021-05;18;Odzież i obuwie;41
2021-05;48;Pakiety oprogramowania;37
2021-05;31;Sprzęt elektryczny;32
2021-05;42;Maszyny przemysłowe;32
2021-05;3;Produkty rolne, łowieckie i rybne;28
2021-05;32;Sprzęt elektroniczny i telekomunikacyjny;28
2021-05;64;Usługi pocztowe i telekomunikacyjne;24
2021-05;14;Górnictwo i minerały;23
2021-05;24;Produkty chemiczne;23
2021-05;16;Maszyny rolnicze;21
2021-05;22;Drukowane materiały i produkty poligraficzne;21
2021-05;73;Usługi badawczo-rozwojowe;21
2021-05;35;Sprzęt bezpieczeństwa i ochrony;17
2021-05;37;Sprzęt sportowy i rekreacyjny;15
2021-05;43;Maszyny górnicze;14
2021-05;92;Usługi rekreacyjne i kulturalne;14
2021-05;98;Pozostałe usługi komunalne i osobiste;12
2021-05;70;Usługi w zakresie nieruchomości;9
2021-05;75;Usługi administracji publicznej;9
2021-05;63;Usługi spedycji i logistyki;8
2021-05;19;Wyroby skórzane i tekstylne;5
2021-05;65;Usługi komunalne (gaz, woda, energia);3
2021-05;51;Usługi instalacyjne;2
2021-05;41;Woda i usługi wodne;1
2021-06;45;Roboty budowlane;3196
2021-06;33;Sprzęt medyczny i farmaceutyczny;500
2021-06;71;Usługi architektoniczne i inżynieryjne;497
2021-06;34;Sprzęt transportowy i pojazdy;242
2021-06;30;Sprzęt komputerowy i biurowy;194
2021-06;90;Usługi środowiskowe i sanitarne;189
2021-06;39;Meble i wyposażenie wnętrz;172
2021-06;79;Usługi biznesowe i doradcze;162
2021-06;15;Artykuły spożywcze i napoje;158
2021-06;80;Usługi edukacyjne;150
2021-06;60;Usługi transportu drogowego;133
2021-06;38;Sprzęt laboratoryjny i naukowy;111
2021-06;9;Produkty naftowe, paliwa i energia;106
2021-06;55;Usługi hotelarskie i restauracyjne;105
2021-06;50;Usługi napraw i konserwacji;101
2021-06;66;Usługi finansowe i ubezpieczeniowe;97
2021-06;85;Usługi zdrowotne i społeczne;81
2021-06;72;Usługi informatyczne;80
2021-06;48;Pakiety oprogramowania;59
2021-06;44;Materiały budowlane;53
2021-06;42;Maszyny przemysłowe;48
2021-06;32;Sprzęt elektroniczny i telekomunikacyjny;46
2021-06;77;Usługi rolnicze i leśne;40
2021-06;3;Produkty rolne, łowieckie i rybne;39
2021-06;16;Maszyny rolnicze;36
2021-06;64;Usługi pocztowe i telekomunikacyjne;31
2021-06;31;Sprzęt elektryczny;30
2021-06;37;Sprzęt sportowy i rekreacyjny;30
2021-06;24;Produkty chemiczne;29
2021-06;18;Odzież i obuwie;26
2021-06;14;Górnictwo i minerały;24
2021-06;43;Maszyny górnicze;21
2021-06;22;Drukowane materiały i produkty poligraficzne;20
2021-06;92;Usługi rekreacyjne i kulturalne;18
2021-06;98;Pozostałe usługi komunalne i osobiste;18
2021-06;35;Sprzęt bezpieczeństwa i ochrony;17
2021-06;63;Usługi spedycji i logistyki;15
2021-06;73;Usługi badawczo-rozwojowe;13
2021-06;51;Usługi instalacyjne;9
2021-06;19;Wyroby skórzane i tekstylne;8
2021-06;70;Usługi w zakresie nieruchomości;8
2021-06;75;Usługi administracji publicznej;4
2021-06;41;Woda i usługi wodne;1
2021-06;76;Usługi związane z przemysłem naftowym;1
2021-07;45;Roboty budowlane;3654
2021-07;71;Usługi architektoniczne i inżynieryjne;574
2021-07;33;Sprzęt medyczny i farmaceutyczny;550
2021-07;60;Usługi transportu drogowego;399
2021-07;34;Sprzęt transportowy i pojazdy;327
2021-07;30;Sprzęt komputerowy i biurowy;215
2021-07;90;Usługi środowiskowe i sanitarne;197
2021-07;79;Usługi biznesowe i doradcze;185
2021-07;39;Meble i wyposażenie wnętrz;183
2021-07;15;Artykuły spożywcze i napoje;153
2021-07;80;Usługi edukacyjne;147
2021-07;9;Produkty naftowe, paliwa i energia;142
2021-07;50;Usługi napraw i konserwacji;133
2021-07;55;Usługi hotelarskie i restauracyjne;124
2021-07;38;Sprzęt laboratoryjny i naukowy;118
2021-07;66;Usługi finansowe i ubezpieczeniowe;105
2021-07;72;Usługi informatyczne;86
2021-07;85;Usługi zdrowotne i społeczne;82
2021-07;42;Maszyny przemysłowe;73
2021-07;48;Pakiety oprogramowania;73
2021-07;44;Materiały budowlane;70
2021-07;32;Sprzęt elektroniczny i telekomunikacyjny;59
2021-07;24;Produkty chemiczne;57
2021-07;77;Usługi rolnicze i leśne;56
2021-07;31;Sprzęt elektryczny;53
2021-07;16;Maszyny rolnicze;40
2021-07;37;Sprzęt sportowy i rekreacyjny;39
2021-07;3;Produkty rolne, łowieckie i rybne;37
2021-07;43;Maszyny górnicze;32
2021-07;22;Drukowane materiały i produkty poligraficzne;27
2021-07;18;Odzież i obuwie;26
2021-07;98;Pozostałe usługi komunalne i osobiste;26
2021-07;92;Usługi rekreacyjne i kulturalne;25
2021-07;70;Usługi w zakresie nieruchomości;23
2021-07;64;Usługi pocztowe i telekomunikacyjne;21
2021-07;35;Sprzęt bezpieczeństwa i ochrony;19
2021-07;14;Górnictwo i minerały;14
2021-07;19;Wyroby skórzane i tekstylne;13
2021-07;63;Usługi spedycji i logistyki;11
2021-07;73;Usługi badawczo-rozwojowe;11
2021-07;75;Usługi administracji publicznej;11
2021-07;51;Usługi instalacyjne;6
2021-07;65;Usługi komunalne (gaz, woda, energia);2
2021-07;76;Usługi związane z przemysłem naftowym;2
2021-07;41;Woda i usługi wodne;1
2021-08;45;Roboty budowlane;3630
2021-08;33;Sprzęt medyczny i farmaceutyczny;576
2021-08;71;Usługi architektoniczne i inżynieryjne;527
2021-08;34;Sprzęt transportowy i pojazdy;335
2021-08;60;Usługi transportu drogowego;334
2021-08;90;Usługi środowiskowe i sanitarne;233
2021-08;30;Sprzęt komputerowy i biurowy;226
2021-08;39;Meble i wyposażenie wnętrz;226
2021-08;80;Usługi edukacyjne;224
2021-08;79;Usługi biznesowe i doradcze;210
2021-08;15;Artykuły spożywcze i napoje;182
2021-08;9;Produkty naftowe, paliwa i energia;172
2021-08;55;Usługi hotelarskie i restauracyjne;170
2021-08;38;Sprzęt laboratoryjny i naukowy;151
2021-08;66;Usługi finansowe i ubezpieczeniowe;107
2021-08;50;Usługi napraw i konserwacji;100
2021-08;44;Materiały budowlane;82
2021-08;48;Pakiety oprogramowania;80
2021-08;77;Usługi rolnicze i leśne;69
2021-08;85;Usługi zdrowotne i społeczne;69
2021-08;32;Sprzęt elektroniczny i telekomunikacyjny;59
2021-08;42;Maszyny przemysłowe;58
2021-08;72;Usługi informatyczne;58
2021-08;3;Produkty rolne, łowieckie i rybne;49
2021-08;31;Sprzęt elektryczny;48
2021-08;16;Maszyny rolnicze;43
2021-08;24;Produkty chemiczne;40
2021-08;18;Odzież i obuwie;36
2021-08;37;Sprzęt sportowy i rekreacyjny;35
2021-08;14;Górnictwo i minerały;29
2021-08;64;Usługi pocztowe i telekomunikacyjne;29
2021-08;43;Maszyny górnicze;25
2021-08;92;Usługi rekreacyjne i kulturalne;24
2021-08;35;Sprzęt bezpieczeństwa i ochrony;23
2021-08;22;Drukowane materiały i produkty poligraficzne;19
2021-08;63;Usługi spedycji i logistyki;16
2021-08;70;Usługi w zakresie nieruchomości;16
2021-08;98;Pozostałe usługi komunalne i osobiste;13
2021-08;73;Usługi badawczo-rozwojowe;12
2021-08;75;Usługi administracji publicznej;7
2021-08;19;Wyroby skórzane i tekstylne;4
2021-08;51;Usługi instalacyjne;3
2021-08;65;Usługi komunalne (gaz, woda, energia);3
2021-08;41;Woda i usługi wodne;1
2021-09;45;Roboty budowlane;3270
2021-09;33;Sprzęt medyczny i farmaceutyczny;683
2021-09;71;Usługi architektoniczne i inżynieryjne;515
2021-09;34;Sprzęt transportowy i pojazdy;361
2021-09;90;Usługi środowiskowe i sanitarne;346
2021-09;9;Produkty naftowe, paliwa i energia;306
2021-09;30;Sprzęt komputerowy i biurowy;285
2021-09;39;Meble i wyposażenie wnętrz;242
2021-09;80;Usługi edukacyjne;228
2021-09;79;Usługi biznesowe i doradcze;203
2021-09;38;Sprzęt laboratoryjny i naukowy;147
2021-09;15;Artykuły spożywcze i napoje;145
2021-09;66;Usługi finansowe i ubezpieczeniowe;126
2021-09;50;Usługi napraw i konserwacji;125
2021-09;48;Pakiety oprogramowania;117
2021-09;55;Usługi hotelarskie i restauracyjne;106
2021-09;32;Sprzęt elektroniczny i telekomunikacyjny;84
2021-09;85;Usługi zdrowotne i społeczne;81
2021-09;3;Produkty rolne, łowieckie i rybne;78
2021-09;44;Materiały budowlane;74
2021-09;42;Maszyny przemysłowe;71
2021-09;60;Usługi transportu drogowego;64
2021-09;72;Usługi informatyczne;64
2021-09;31;Sprzęt elektryczny;61
2021-09;77;Usługi rolnicze i leśne;56
2021-09;24;Produkty chemiczne;54
2021-09;16;Maszyny rolnicze;47
2021-09;14;Górnictwo i minerały;40
2021-09;18;Odzież i obuwie;39
2021-09;43;Maszyny górnicze;37
2021-09;37;Sprzęt sportowy i rekreacyjny;34
2021-09;64;Usługi pocztowe i telekomunikacyjne;34
2021-09;98;Pozostałe usługi komunalne i osobiste;29
2021-09;22;Drukowane materiały i produkty poligraficzne;25
2021-09;35;Sprzęt bezpieczeństwa i ochrony;22
2021-09;70;Usługi w zakresie nieruchomości;19
2021-09;92;Usługi rekreacyjne i kulturalne;16
2021-09;63;Usługi spedycji i logistyki;14
2021-09;73;Usługi badawczo-rozwojowe;13
2021-09;51;Usługi instalacyjne;4
2021-09;19;Wyroby skórzane i tekstylne;3
2021-09;65;Usługi komunalne (gaz, woda, energia);2
2021-09;75;Usługi administracji publicznej;2
2021-10;45;Roboty budowlane;2437
2021-10;90;Usługi środowiskowe i sanitarne;618
2021-10;33;Sprzęt medyczny i farmaceutyczny;609
2021-10;9;Produkty naftowe, paliwa i energia;434
2021-10;71;Usługi architektoniczne i inżynieryjne;378
2021-10;30;Sprzęt komputerowy i biurowy;326
2021-10;34;Sprzęt transportowy i pojazdy;308
2021-10;79;Usługi biznesowe i doradcze;216
2021-10;39;Meble i wyposażenie wnętrz;215
2021-10;15;Artykuły spożywcze i napoje;213
2021-10;66;Usługi finansowe i ubezpieczeniowe;198
2021-10;80;Usługi edukacyjne;193
2021-10;48;Pakiety oprogramowania;143
2021-10;50;Usługi napraw i konserwacji;142
2021-10;32;Sprzęt elektroniczny i telekomunikacyjny;136
2021-10;38;Sprzęt laboratoryjny i naukowy;129
2021-10;85;Usługi zdrowotne i społeczne;109
2021-10;55;Usługi hotelarskie i restauracyjne;97
2021-10;31;Sprzęt elektryczny;75
2021-10;60;Usługi transportu drogowego;72
2021-10;72;Usługi informatyczne;72
2021-10;64;Usługi pocztowe i telekomunikacyjne;70
2021-10;42;Maszyny przemysłowe;69
2021-10;77;Usługi rolnicze i leśne;64
2021-10;44;Materiały budowlane;58
2021-10;16;Maszyny rolnicze;56
2021-10;3;Produkty rolne, łowieckie i rybne;48
2021-10;35;Sprzęt bezpieczeństwa i ochrony;39
2021-10;14;Górnictwo i minerały;37
2021-10;22;Drukowane materiały i produkty poligraficzne;36
2021-10;37;Sprzęt sportowy i rekreacyjny;36
2021-10;98;Pozostałe usługi komunalne i osobiste;35
2021-10;24;Produkty chemiczne;31
2021-10;43;Maszyny górnicze;30
2021-10;18;Odzież i obuwie;28
2021-10;92;Usługi rekreacyjne i kulturalne;19
2021-10;65;Usługi komunalne (gaz, woda, energia);11
2021-10;70;Usługi w zakresie nieruchomości;11
2021-10;73;Usługi badawczo-rozwojowe;11
2021-10;19;Wyroby skórzane i tekstylne;10
2021-10;51;Usługi instalacyjne;8
2021-10;63;Usługi spedycji i logistyki;6
2021-10;75;Usługi administracji publicznej;4
2021-10;76;Usługi związane z przemysłem naftowym;1
2021-11;45;Roboty budowlane;1675
2021-11;90;Usługi środowiskowe i sanitarne;731
2021-11;9;Produkty naftowe, paliwa i energia;651
2021-11;33;Sprzęt medyczny i farmaceutyczny;608
2021-11;15;Artykuły spożywcze i napoje;551
2021-11;30;Sprzęt komputerowy i biurowy;392
2021-11;71;Usługi architektoniczne i inżynieryjne;377
2021-11;79;Usługi biznesowe i doradcze;370
2021-11;66;Usługi finansowe i ubezpieczeniowe;278
2021-11;34;Sprzęt transportowy i pojazdy;250
2021-11;39;Meble i wyposażenie wnętrz;226
2021-11;64;Usługi pocztowe i telekomunikacyjne;220
2021-11;85;Usługi zdrowotne i społeczne;206
2021-11;60;Usługi transportu drogowego;203
2021-11;55;Usługi hotelarskie i restauracyjne;174
2021-11;50;Usługi napraw i konserwacji;159
2021-11;80;Usługi edukacyjne;154
2021-11;38;Sprzęt laboratoryjny i naukowy;153
2021-11;48;Pakiety oprogramowania;120
2021-11;72;Usługi informatyczne;95
2021-11;32;Sprzęt elektroniczny i telekomunikacyjny;74
2021-11;3;Produkty rolne, łowieckie i rybne;68
2021-11;44;Materiały budowlane;64
2021-11;42;Maszyny przemysłowe;60
2021-11;16;Maszyny rolnicze;56
2021-11;77;Usługi rolnicze i leśne;55
2021-11;98;Pozostałe usługi komunalne i osobiste;52
2021-11;31;Sprzęt elektryczny;51
2021-11;24;Produkty chemiczne;46
2021-11;22;Drukowane materiały i produkty poligraficzne;39
2021-11;37;Sprzęt sportowy i rekreacyjny;35
2021-11;92;Usługi rekreacyjne i kulturalne;28
2021-11;43;Maszyny górnicze;27
2021-11;35;Sprzęt bezpieczeństwa i ochrony;26
2021-11;18;Odzież i obuwie;25
2021-11;14;Górnictwo i minerały;22
2021-11;63;Usługi spedycji i logistyki;20
2021-11;70;Usługi w zakresie nieruchomości;17
2021-11;65;Usługi komunalne (gaz, woda, energia);16
2021-11;75;Usługi administracji publicznej;15
2021-11;19;Wyroby skórzane i tekstylne;13
2021-11;73;Usługi badawczo-rozwojowe;10
2021-11;51;Usługi instalacyjne;3
2021-11;41;Woda i usługi wodne;1
2021-12;45;Roboty budowlane;1218
2021-12;15;Artykuły spożywcze i napoje;658
2021-12;9;Produkty naftowe, paliwa i energia;638
2021-12;90;Usługi środowiskowe i sanitarne;611
2021-12;33;Sprzęt medyczny i farmaceutyczny;494
2021-12;71;Usługi architektoniczne i inżynieryjne;333
2021-12;79;Usługi biznesowe i doradcze;282
2021-12;39;Meble i wyposażenie wnętrz;242
2021-12;30;Sprzęt komputerowy i biurowy;229
2021-12;55;Usługi hotelarskie i restauracyjne;226
2021-12;85;Usługi zdrowotne i społeczne;221
2021-12;50;Usługi napraw i konserwacji;207
2021-12;60;Usługi transportu drogowego;186
2021-12;64;Usługi pocztowe i telekomunikacyjne;164
2021-12;34;Sprzęt transportowy i pojazdy;144
2021-12;80;Usługi edukacyjne;123
2021-12;66;Usługi finansowe i ubezpieczeniowe;110
2021-12;38;Sprzęt laboratoryjny i naukowy;96
2021-12;72;Usługi informatyczne;90
2021-12;48;Pakiety oprogramowania;83
2021-12;3;Produkty rolne, łowieckie i rybne;82
2021-12;98;Pozostałe usługi komunalne i osobiste;80
2021-12;77;Usługi rolnicze i leśne;72
2021-12;32;Sprzęt elektroniczny i telekomunikacyjny;52
2021-12;24;Produkty chemiczne;51
2021-12;44;Materiały budowlane;44
2021-12;42;Maszyny przemysłowe;32
2021-12;18;Odzież i obuwie;29
2021-12;16;Maszyny rolnicze;26
2021-12;70;Usługi w zakresie nieruchomości;25
2021-12;14;Górnictwo i minerały;24
2021-12;22;Drukowane materiały i produkty poligraficzne;23
2021-12;31;Sprzęt elektryczny;22
2021-12;92;Usługi rekreacyjne i kulturalne;18
2021-12;43;Maszyny górnicze;17
2021-12;75;Usługi administracji publicznej;15
2021-12;63;Usługi spedycji i logistyki;14
2021-12;65;Usługi komunalne (gaz, woda, energia);13
2021-12;37;Sprzęt sportowy i rekreacyjny;10
2021-12;19;Wyroby skórzane i tekstylne;9
2021-12;35;Sprzęt bezpieczeństwa i ochrony;8
2021-12;73;Usługi badawczo-rozwojowe;8
2021-12;51;Usługi instalacyjne;6
2021-12;41;Woda i usługi wodne;1
2022-01;45;Roboty budowlane;1702
2022-01;33;Sprzęt medyczny i farmaceutyczny;404
2022-01;9;Produkty naftowe, paliwa i energia;329
2022-01;15;Artykuły spożywcze i napoje;314
2022-01;71;Usługi architektoniczne i inżynieryjne;309
2022-01;90;Usługi środowiskowe i sanitarne;263
2022-01;79;Usługi biznesowe i doradcze;202
2022-01;39;Meble i wyposażenie wnętrz;151
2022-01;80;Usługi edukacyjne;147
2022-01;30;Sprzęt komputerowy i biurowy;146
2022-01;34;Sprzęt transportowy i pojazdy;135
2022-01;50;Usługi napraw i konserwacji;127
2022-01;85;Usługi zdrowotne i społeczne;117
2022-01;55;Usługi hotelarskie i restauracyjne;105
2022-01;60;Usługi transportu drogowego;91
2022-01;44;Materiały budowlane;81
2022-01;77;Usługi rolnicze i leśne;75
2022-01;64;Usługi pocztowe i telekomunikacyjne;64
2022-01;66;Usługi finansowe i ubezpieczeniowe;64
2022-01;72;Usługi informatyczne;63
2022-01;38;Sprzęt laboratoryjny i naukowy;60
2022-01;3;Produkty rolne, łowieckie i rybne;51
2022-01;14;Górnictwo i minerały;46
2022-01;31;Sprzęt elektryczny;44
2022-01;48;Pakiety oprogramowania;39
2022-01;24;Produkty chemiczne;37
2022-01;98;Pozostałe usługi komunalne i osobiste;34
2022-01;18;Odzież i obuwie;24
2022-01;16;Maszyny rolnicze;23
2022-01;32;Sprzęt elektroniczny i telekomunikacyjny;23
2022-01;42;Maszyny przemysłowe;21
2022-01;92;Usługi rekreacyjne i kulturalne;19
2022-01;19;Wyroby skórzane i tekstylne;13
2022-01;70;Usługi w zakresie nieruchomości;13
2022-01;75;Usługi administracji publicznej;13
2022-01;22;Drukowane materiały i produkty poligraficzne;12
2022-01;35;Sprzęt bezpieczeństwa i ochrony;11
2022-01;43;Maszyny górnicze;10
2022-01;63;Usługi spedycji i logistyki;10
2022-01;37;Sprzęt sportowy i rekreacyjny;9
2022-01;51;Usługi instalacyjne;6
2022-01;73;Usługi badawczo-rozwojowe;3
2022-01;41;Woda i usługi wodne;1
2022-01;65;Usługi komunalne (gaz, woda, energia);1
2022-01;76;Usługi związane z przemysłem naftowym;1
2022-02;45;Roboty budowlane;2701
2022-02;33;Sprzęt medyczny i farmaceutyczny;613
2022-02;71;Usługi architektoniczne i inżynieryjne;524
2022-02;90;Usługi środowiskowe i sanitarne;321
2022-02;9;Produkty naftowe, paliwa i energia;273
2022-02;15;Artykuły spożywcze i napoje;259
2022-02;34;Sprzęt transportowy i pojazdy;234
2022-02;79;Usługi biznesowe i doradcze;227
2022-02;39;Meble i wyposażenie wnętrz;213
2022-02;30;Sprzęt komputerowy i biurowy;209
2022-02;80;Usługi edukacyjne;192
2022-02;50;Usługi napraw i konserwacji;155
2022-02;85;Usługi zdrowotne i społeczne;128
2022-02;44;Materiały budowlane;124
2022-02;55;Usługi hotelarskie i restauracyjne;119
2022-02;77;Usługi rolnicze i leśne;109
2022-02;14;Górnictwo i minerały;95
2022-02;38;Sprzęt laboratoryjny i naukowy;92
2022-02;24;Produkty chemiczne;82
2022-02;60;Usługi transportu drogowego;78
2022-02;66;Usługi finansowe i ubezpieczeniowe;77
2022-02;3;Produkty rolne, łowieckie i rybne;71
2022-02;48;Pakiety oprogramowania;65
2022-02;72;Usługi informatyczne;62
2022-02;64;Usługi pocztowe i telekomunikacyjne;45
2022-02;31;Sprzęt elektryczny;44
2022-02;42;Maszyny przemysłowe;44
2022-02;32;Sprzęt elektroniczny i telekomunikacyjny;39
2022-02;16;Maszyny rolnicze;37
2022-02;18;Odzież i obuwie;36
2022-02;98;Pozostałe usługi komunalne i osobiste;36
2022-02;92;Usługi rekreacyjne i kulturalne;27
2022-02;70;Usługi w zakresie nieruchomości;25
2022-02;63;Usługi spedycji i logistyki;22
2022-02;43;Maszyny górnicze;20
2022-02;37;Sprzęt sportowy i rekreacyjny;18
2022-02;22;Drukowane materiały i produkty poligraficzne;15
2022-02;73;Usługi badawczo-rozwojowe;15
2022-02;19;Wyroby skórzane i tekstylne;14
2022-02;35;Sprzęt bezpieczeństwa i ochrony;12
2022-02;75;Usługi administracji publicznej;12
2022-02;65;Usługi komunalne (gaz, woda, energia);4
2022-02;41;Woda i usługi wodne;1
2022-02;51;Usługi instalacyjne;1
2022-02;76;Usługi związane z przemysłem naftowym;1
2022-03;45;Roboty budowlane;4109
2022-03;33;Sprzęt medyczny i farmaceutyczny;809
2022-03;71;Usługi architektoniczne i inżynieryjne;782
2022-03;30;Sprzęt komputerowy i biurowy;399
2022-03;34;Sprzęt transportowy i pojazdy;379
2022-03;80;Usługi edukacyjne;318
2022-03;90;Usługi środowiskowe i sanitarne;314
2022-03;79;Usługi biznesowe i doradcze;288
2022-03;39;Meble i wyposażenie wnętrz;280
2022-03;15;Artykuły spożywcze i napoje;274
2022-03;9;Produkty naftowe, paliwa i energia;217
2022-03;50;Usługi napraw i konserwacji;194
2022-03;77;Usługi rolnicze i leśne;167
2022-03;55;Usługi hotelarskie i restauracyjne;158
2022-03;85;Usługi zdrowotne i społeczne;156
2022-03;44;Materiały budowlane;145
2022-03;38;Sprzęt laboratoryjny i naukowy;132
2022-03;66;Usługi finansowe i ubezpieczeniowe;111
2022-03;24;Produkty chemiczne;102
2022-03;14;Górnictwo i minerały;97
2022-03;72;Usługi informatyczne;91
2022-03;60;Usługi transportu drogowego;83
2022-03;48;Pakiety oprogramowania;76
2022-03;42;Maszyny przemysłowe;75
2022-03;18;Odzież i obuwie;70
2022-03;32;Sprzęt elektroniczny i telekomunikacyjny;61
2022-03;64;Usługi pocztowe i telekomunikacyjne;57
2022-03;98;Pozostałe usługi komunalne i osobiste;57
2022-03;3;Produkty rolne, łowieckie i rybne;53
2022-03;16;Maszyny rolnicze;53
2022-03;31;Sprzęt elektryczny;53
2022-03;92;Usługi rekreacyjne i kulturalne;38
2022-03;22;Drukowane materiały i produkty poligraficzne;35
2022-03;63;Usługi spedycji i logistyki;31
2022-03;43;Maszyny górnicze;28
2022-03;70;Usługi w zakresie nieruchomości;27
2022-03;37;Sprzęt sportowy i rekreacyjny;26
2022-03;35;Sprzęt bezpieczeństwa i ochrony;23
2022-03;19;Wyroby skórzane i tekstylne;20
2022-03;75;Usługi administracji publicznej;17
2022-03;73;Usługi badawczo-rozwojowe;13
2022-03;51;Usługi instalacyjne;5
2022-03;65;Usługi komunalne (gaz, woda, energia);2
2022-03;41;Woda i usługi wodne;1
2022-04;45;Roboty budowlane;4160
2022-04;71;Usługi architektoniczne i inżynieryjne;697
2022-04;33;Sprzęt medyczny i farmaceutyczny;634
2022-04;30;Sprzęt komputerowy i biurowy;420
2022-04;34;Sprzęt transportowy i pojazdy;345
2022-04;79;Usługi biznesowe i doradcze;265
2022-04;80;Usługi edukacyjne;261
2022-04;39;Meble i wyposażenie wnętrz;233
2022-04;90;Usługi środowiskowe i sanitarne;227
2022-04;15;Artykuły spożywcze i napoje;218
2022-04;9;Produkty naftowe, paliwa i energia;194
2022-04;55;Usługi hotelarskie i restauracyjne;170
2022-04;50;Usługi napraw i konserwacji;155
2022-04;38;Sprzęt laboratoryjny i naukowy;140
2022-04;85;Usługi zdrowotne i społeczne;135
2022-04;77;Usługi rolnicze i leśne;124
2022-04;44;Materiały budowlane;104
2022-04;66;Usługi finansowe i ubezpieczeniowe;79
2022-04;72;Usługi informatyczne;71
2022-04;31;Sprzęt elektryczny;65
2022-04;48;Pakiety oprogramowania;65
2022-04;60;Usługi transportu drogowego;65
2022-04;42;Maszyny przemysłowe;64
2022-04;24;Produkty chemiczne;63
2022-04;14;Górnictwo i minerały;57
2022-04;3;Produkty rolne, łowieckie i rybne;55
2022-04;18;Odzież i obuwie;54
2022-04;32;Sprzęt elektroniczny i telekomunikacyjny;52
2022-04;16;Maszyny rolnicze;42
2022-04;64;Usługi pocztowe i telekomunikacyjne;38
2022-04;63;Usługi spedycji i logistyki;37
2022-04;98;Pozostałe usługi komunalne i osobiste;36
2022-04;22;Drukowane materiały i produkty poligraficzne;31
2022-04;37;Sprzęt sportowy i rekreacyjny;26
2022-04;92;Usługi rekreacyjne i kulturalne;23
2022-04;43;Maszyny górnicze;21
2022-04;73;Usługi badawczo-rozwojowe;21
2022-04;35;Sprzęt bezpieczeństwa i ochrony;20
2022-04;75;Usługi administracji publicznej;18
2022-04;19;Wyroby skórzane i tekstylne;14
2022-04;70;Usługi w zakresie nieruchomości;14
2022-04;51;Usługi instalacyjne;6
2022-04;65;Usługi komunalne (gaz, woda, energia);3
2022-04;41;Woda i usługi wodne;1
2022-05;45;Roboty budowlane;3922
2022-05;33;Sprzęt medyczny i farmaceutyczny;716
2022-05;71;Usługi architektoniczne i inżynieryjne;658
2022-05;30;Sprzęt komputerowy i biurowy;534
2022-05;34;Sprzęt transportowy i pojazdy;359
2022-05;15;Artykuły spożywcze i napoje;308
2022-05;39;Meble i wyposażenie wnętrz;270
2022-05;90;Usługi środowiskowe i sanitarne;252
2022-05;80;Usługi edukacyjne;245
2022-05;79;Usługi biznesowe i doradcze;218
2022-05;9;Produkty naftowe, paliwa i energia;210
2022-05;55;Usługi hotelarskie i restauracyjne;167
2022-05;38;Sprzęt laboratoryjny i naukowy;136
2022-05;50;Usługi napraw i konserwacji;126
2022-05;85;Usługi zdrowotne i społeczne;120
2022-05;48;Pakiety oprogramowania;117
2022-05;44;Materiały budowlane;96
2022-05;77;Usługi rolnicze i leśne;96
2022-05;72;Usługi informatyczne;94
2022-05;60;Usługi transportu drogowego;91
2022-05;66;Usługi finansowe i ubezpieczeniowe;85
2022-05;42;Maszyny przemysłowe;80
2022-05;32;Sprzęt elektroniczny i telekomunikacyjny;67
2022-05;3;Produkty rolne, łowieckie i rybne;66
2022-05;24;Produkty chemiczne;62
2022-05;31;Sprzęt elektryczny;55
2022-05;18;Odzież i obuwie;50
2022-05;14;Górnictwo i minerały;46
2022-05;64;Usługi pocztowe i telekomunikacyjne;45
2022-05;98;Pozostałe usługi komunalne i osobiste;43
2022-05;37;Sprzęt sportowy i rekreacyjny;40
2022-05;63;Usługi spedycji i logistyki;36
2022-05;22;Drukowane materiały i produkty poligraficzne;34
2022-05;92;Usługi rekreacyjne i kulturalne;31
2022-05;73;Usługi badawczo-rozwojowe;30
2022-05;16;Maszyny rolnicze;29
2022-05;35;Sprzęt bezpieczeństwa i ochrony;25
2022-05;43;Maszyny górnicze;22
2022-05;75;Usługi administracji publicznej;22
2022-05;70;Usługi w zakresie nieruchomości;19
2022-05;19;Wyroby skórzane i tekstylne;16
2022-05;51;Usługi instalacyjne;9
